,country,Year,elec_access,gdp_pc
113,Nigeria,2009,50.0,1820.48633854782
114,Nigeria,2010,48.0,2202.25672957344
115,Nigeria,2011,55.9,2418.41316975875
116,Nigeria,2012,53.0,2633.19734671361
117,Nigeria,2013,55.6,2872.79083379398
118,Nigeria,2014,54.2,3088.72131316169
119,Nigeria,2015,52.5,2585.73360671797
120,Nigeria,2016,59.3,2070.4127339595
121,Nigeria,2017,54.4,1876.34027111773
122,Nigeria,2018,56.5,2057.87944554011
123,Nigeria,2019,55.4,3189.81286498516
124,Nigeria,2020,55.4,2797.18458068686
125,Nigeria,2021,59.5,2787.48779224428
126,Nigeria,2022,60.5,2899.16047470324
127,Nigeria,2023,61.2,2138.76383719983
